backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,vote_average,vote_count,genre
www.themoviedb.org/t/p/w600_and_h900_bestv2/yvcX0QLY6IQZxeYvlLACXZNKpZm.jpg,"53, 27",954388,en,Quicksand,empty,30.161,www.themoviedb.org/t/p/w600_and_h900_bestv2/agAl6LLnkeBvHKIvvZCX9qC3dHz.jpg,2023-06-23,Quicksand,0.0,0,"Thriller, Horror"
www.themoviedb.org/t/p/w600_and_h900_bestv2/vTGNLzC6PWpq1TZhxK4dK4pd72T.jpg,"80, 53",957118,ko,인드림,empty,6.554,www.themoviedb.org/t/p/w600_and_h900_bestv2/QUzIaemhlHZn5xW71TANW727wu.jpg,2023-06-21,인드림,0.0,0,"Crime, Thriller"
empty,"14, 53, 27",957834,en,Ouroboros,empty,6.569,empty,2023-06-20,Ouroboros,0.0,0,"Fantasy, Thriller, Horror"
www.themoviedb.org/t/p/w600_and_h900_bestv2/w4JhlawmUF1CBVkt4d80lSo5e2K.jpg,"35, 80",958603,fr,38°5 Quai des Orfèvres,empty,10.168,www.themoviedb.org/t/p/w600_and_h900_bestv2/8JaYBZwl2s3IiQTNvMoJtQOg9NY.jpg,2023-06-21,38°5 Quai des Orfèvres,0.0,1,"Comedy, Crime"
www.themoviedb.org/t/p/w600_and_h900_bestv2/VWd9MzMB2mDEWG4YYJtZukOJ0k.jpg,"18, 80",960134,fr,Magnificat,empty,10.742,www.themoviedb.org/t/p/w600_and_h900_bestv2/baFdlOKVDuIIwNeGc01CVMdyMHY.jpg,2023-06-21,Magnificat,6.0,3,"Drama, Crime"
www.themoviedb.org/t/p/w600_and_h900_bestv2/hDqpD74vWVXvPQlDIp8htGuWg0T.jpg,"16, 878, 28, 12, 14",961323,en,Nimona,empty,46.454,www.themoviedb.org/t/p/w600_and_h900_bestv2/dHFUte9BLYhihC9YqKWyxmWXnZu.jpg,2023-06-23,Nimona,0.0,0,"Animation, Science Fiction, Action, Adventure, Fantasy"
empty,99,964837,fr,Polaris,empty,8.574,www.themoviedb.org/t/p/w600_and_h900_bestv2/dOXeCTo6dNroXJ8UU9FttzLpXpB.jpg,2023-06-21,Polaris,0.0,0,Documentary
www.themoviedb.org/t/p/w600_and_h900_bestv2/xMUnOESnoFjqW16zOrpbNpPuYNP.jpg,"12, 10751",966576,en,The Quest for Tom Sawyer's Gold,empty,18.214,www.themoviedb.org/t/p/w600_and_h900_bestv2/zceLrHeYOgJHw1tw6MUi15N2NUz.jpg,2023-06-22,The Quest for Tom Sawyer's Gold,0.0,0,"Adventure, Family"
www.themoviedb.org/t/p/w600_and_h900_bestv2/5cdSqqn5fglcggXqh2jpPHCqSrN.jpg,27,977209,zh,化劫,empty,7.207,www.themoviedb.org/t/p/w600_and_h900_bestv2/mhFId4b90R5ZrPqYfg5TU0LKm3P.jpg,2023-06-21,化劫,0.0,0,Horror
www.themoviedb.org/t/p/w600_and_h900_bestv2/5qr0k2quFABK10m2U2e30gHHJCW.jpg,53,984992,ta,ரெஜினா,empty,24.275,www.themoviedb.org/t/p/w600_and_h900_bestv2/6uo5xvXAbDIyHHG58mTxahUZZXt.jpg,2023-06-23,ரெஜினா,0.0,0,Thriller
www.themoviedb.org/t/p/w600_and_h900_bestv2/mmSSn8Yn3GbJv9MsSnD4J1LnN9l.jpg,"10749, 18",988078,es,A través del mar,"Após um ano de relação à distância, Raquel e Ares reencontram-se numa escaldante viagem à praia. Mas irá o seu amor sobreviver a novos namoricos e inseguranças?",396.004,www.themoviedb.org/t/p/w600_and_h900_bestv2/7me7eFBoFEZqaiobZuo180Hk3ds.jpg,2023-06-23,Da Minha Janela: Um Mar Entre Nós,6.9,30,"Romance, Drama"
empty,18,989750,de,Monster im Kopf,empty,23.864,empty,2023-06-24,Monster im Kopf,0.0,0,Drama
empty,35,995081,es,La Fortaleza,empty,26.055,www.themoviedb.org/t/p/w600_and_h900_bestv2/lIyAU59dBaz9aeu6Ev9mxy3r2kY.jpg,2023-06-23,La Fortaleza,0.0,0,Comedy
www.themoviedb.org/t/p/w600_and_h900_bestv2/pngRtp1mcdUpgA8jMeZrt29eUOu.jpg,35,1000948,it,Un matrimonio mostruoso,empty,9.696,www.themoviedb.org/t/p/w600_and_h900_bestv2/osEghaXHGzO1h4FvdOM4HYmes2h.jpg,2023-06-21,Un matrimonio mostruoso,0.0,0,Comedy
www.themoviedb.org/t/p/w600_and_h900_bestv2/m2xA0tTInHOj2erKXrxCLDiwsQs.jpg,99,1004929,en,"Desperate Souls, Dark City and the Legend of Midnight Cowboy",empty,34.831,www.themoviedb.org/t/p/w600_and_h900_bestv2/kLpyqc03LUCVPbGzIhAEZWDGy72.jpg,2023-06-23,"Desperate Souls, Dark City and the Legend of Midnight Cowboy",0.0,0,Documentary
www.themoviedb.org/t/p/w600_and_h900_bestv2/vzYBGoGtwtGKFBwD7B4YXtLGTfU.jpg,27,1005004,en,Murdercise,empty,9.447,www.themoviedb.org/t/p/w600_and_h900_bestv2/pnjhUF6ndxQoaeoSsCazZFy9Jhf.jpg,2023-06-21,Murdercise,0.0,0,Horror
www.themoviedb.org/t/p/w600_and_h900_bestv2/ogsaZqVbi1lcNKoeRr680G83tgR.jpg,"10749, 35",1006911,tr,Sen İnandır,"Duas avós metediças convencem os netos adultos a encontrar-se, reacendendo uma paixão de infância... e quezílias antigas.",42.93,www.themoviedb.org/t/p/w600_and_h900_bestv2/iiKXokniuqAwhVZjLhIGJhXIKzk.jpg,2023-06-23,Faz-me Acreditar,5.3,5,"Romance, Comedy"
empty,18,1010424,ru,Микулай,empty,9.872,www.themoviedb.org/t/p/w600_and_h900_bestv2/7aECbSHvRiQ4S0ZTdZZIq1IX4t1.jpg,2023-06-22,Микулай,0.0,0,Drama
empty,99,1017677,es,"Wërapara, chicas trans",empty,8.638,www.themoviedb.org/t/p/w600_and_h900_bestv2/yNK1lj6LE7HEwayBBtuVqbu5Qm9.jpg,2023-06-22,"Wërapara, chicas trans",0.0,0,Documentary
www.themoviedb.org/t/p/w600_and_h900_bestv2/vYGq7e9JpJEl5QjSwvcSSLMPMed.jpg,99,1019461,en,The Last Rider,empty,36.289,www.themoviedb.org/t/p/w600_and_h900_bestv2/dPXrlSQd9UAbTZADy4dnznyQNR4.jpg,2023-06-23,The Last Rider,9.0,1,Documentary
www.themoviedb.org/t/p/w600_and_h900_bestv2/39RpqVBIPCywYSQc6xsI81smFsZ.jpg,99,1021797,ko,수라,empty,9.436,www.themoviedb.org/t/p/w600_and_h900_bestv2/xequ7X2X71Xxy19T877C6qYLJiF.jpg,2023-06-21,수라,0.0,0,Documentary
www.themoviedb.org/t/p/w600_and_h900_bestv2/any3SmsYG2b4TYHUAVlbEmunrL2.jpg,"35, 18, 10749",1022042,ja,君は放課後インソムニア,empty,27.837,www.themoviedb.org/t/p/w600_and_h900_bestv2/bbAF66QbYZy8DSBsq0pNzK3T3N4.jpg,2023-06-23,君は放課後インソムニア,0.0,0,"Comedy, Drama, Romance"
